DateTime,Amount,Region,DeviceType,IsAbroad,TxCountLastHour,IsNight
2025-01-25 12:09,2046.36,IN,Mobile,0,7,0
2025-01-22 12:00,2546.27,CN,Desktop,0,2,0
2025-01-28 11:50,2475.42,DE,Mobile,0,1,0
2025-01-08 11:38,1425.09,RU,Mobile,1,10,0
2025-01-15 00:32,4863.36,CN,Desktop,0,5,1
2025-01-13 19:54,168.77,DE,Tablet,0,8,0
2025-01-18 19:47,1214.35,CN,Desktop,0,9,0
2025-01-08 09:46,3728.48,US,Tablet,0,7,0
2025-01-25 19:59,4973.07,CN,Tablet,0,3,0
2025-01-07 23:15,176.49,CN,Mobile,0,2,1
2025-01-24 03:50,3023.47,US,Tablet,1,2,1
2025-01-25 21:10,307.85,CN,Mobile,0,4,0
2025-01-02 20:47,3143.51,DE,Mobile,0,2,0
2025-01-10 16:25,3699.14,US,Mobile,0,8,0
2025-01-08 00:57,4762.94,RU,Mobile,1,3,1
2025-01-18 13:51,947.99,RU,Desktop,1,9,0
2025-01-20 04:19,4912.71,RU,Tablet,1,7,1
2025-01-28 13:31,2246.11,DE,Mobile,1,7,0
2025-01-29 18:42,1610.26,US,Mobile,1,5,0
2025-01-24 14:36,1967.54,RU,Mobile,1,5,0
2025-01-30 04:32,1411.86,CN,Tablet,1,2,1
2025-01-25 09:11,2623.39,DE,Desktop,0,9,0
2025-01-16 19:11,270.54,DE,Tablet,0,1,0
2025-01-27 07:33,4019.23,CN,Desktop,0,5,0
2025-01-25 16:09,2915.71,US,Desktop,1,8,0
2025-01-22 16:11,957.83,US,Mobile,0,5,0
2025-01-02 05:40,4417.04,RU,Tablet,1,3,1
2025-01-22 13:22,1106.09,US,Mobile,1,4,0
2025-01-03 19:13,3033.95,CN,Tablet,0,8,0
2025-01-01 14:19,1097.49,CN,Mobile,1,8,0
2025-01-08 14:11,3610.68,IN,Mobile,0,1,0
2025-01-19 22:23,3400.91,RU,Desktop,1,9,0
2025-01-06 21:02,994.64,CN,Tablet,0,7,0
2025-01-18 22:46,1595.34,RU,Mobile,0,6,0
2025-01-05 23:53,2240.93,RU,Tablet,0,2,1
2025-01-13 07:20,1574.6,RU,Desktop,1,2,0
2025-01-03 09:35,4249.51,IN,Tablet,1,8,0
2025-01-26 16:36,3889.43,US,Tablet,0,1,0
2025-01-13 22:59,614.47,RU,Mobile,1,6,0
2025-01-20 15:06,4964.5,IN,Tablet,0,6,0
2025-01-13 19:07,2787.97,RU,Mobile,0,5,0
2025-01-25 07:58,2447.14,RU,Tablet,0,9,0
2025-01-07 05:00,3251.99,US,Tablet,1,6,1
2025-01-14 14:23,243.84,US,Tablet,1,5,0
2025-01-30 10:27,1916.19,IN,Tablet,1,2,0
2025-01-21 02:45,2988.46,RU,Desktop,0,1,1
2025-01-19 23:16,1977.49,CN,Desktop,1,1,1
2025-01-06 15:00,1906.85,US,Tablet,1,7,0
2025-01-04 14:53,3284.42,IN,Tablet,1,9,0
2025-01-25 23:16,1432.38,IN,Mobile,1,7,1
